date,open,high,low,close,volume,symbol,x_sma,x_ema,x_willr,x_stck,x_stcd,x_rsi,x_cci,x_mom,dif,dm,mcad,increase,updown
2010-11-23,2.219332933425904,2.378667116165161,2.1459999084472656,2.3046669960021973,23667000.0,TSLA,1.9285713519368852,1.947825148324258,-8.204003819454774,87.80915664646443,83.57832384597543,80.53768147887055,139.93175094405171,0.8533339500427244,0.20092305162536994,0.0459539055982951,0.15496914602707484,3.5029966856252246,1
2010-11-24,2.351332902908325,2.3980000019073486,2.2886669635772705,2.3646669387817383,21375000.0,TSLA,1.9789047070911951,2.003404053718589,-4.0815980967781496,90.51223839871689,85.88962869688925,81.79716881741207,152.81687500358117,0.7046669721603394,0.21627182336283224,0.04904214186860589,0.16722968149422635,2.6034105093542896,1
2010-11-26,2.373332977294922,2.400000095367432,2.316667079925537,2.354666948318481,5259000.0,TSLA,2.030714273452759,2.050239106331908,-5.680844802371143,91.78121066502088,87.85348935293312,80.85797436152129,132.32189426611617,0.7253339290618892,0.22503485812459711,0.046244141304296604,0.1787907168203005,-0.42289213331705877,-1
2010-11-29,2.360666990280152,2.396667003631592,2.2219998836517334,2.2886669635772705,17184000.0,TSLA,2.075238125664847,2.0820294872979566,-13.974862515352605,89.86251960489638,88.52316610358754,74.75701499108297,94.68378184606095,0.6233339309692383,0.22407102779477683,0.03622424877958105,0.18784677901519578,-2.802943524065793,-1
2010-11-30,2.249332904815674,2.355333089828491,2.227333068847656,2.355333089828491,33339000.0,TSLA,2.126190492085048,2.1184699676353613,-5.606734054294815,91.37276838516597,89.47303353078036,76.67172892337403,84.15764857449585,0.7133331298828125,0.2260804696271257,0.030586952489543906,0.19549351713758178,2.9128801748865683,1
2010-12-01,2.391333103179932,2.427999973297119,2.2300000190734863,2.289999961853028,19488000.0,TSLA,2.1499524201665605,2.1413406335310503,-22.77228112306956,86.65775188242078,88.5346063146605,70.98887616910086,73.50107512717955,0.33266699314117476,0.21986664353617003,0.01949850111887058,0.20036814241729944,-2.7738381572272988,-1
2010-12-02,2.267333030700684,2.2866671085357666,2.0799999237060547,2.1566669940948486,30105000.0,TSLA,2.1704762748309543,2.14338414827289,-48.74242477130567,74.85769299784529,83.97563520905543,61.044718140554004,4.0735990586851045,0.28733396530151367,0.20185641035558155,0.0011906143506256739,0.20066579600495588,-5.822400435775049,-1
2010-12-03,2.134000062942505,2.150000095367432,2.058000087738037,2.0993330478668213,17401500.0,TSLA,2.178333418709891,2.1375106682187477,-61.62509351416799,62.69676416050752,76.88267819287279,57.326039676428415,-39.54284779297554,0.11000001430511497,0.18087182271891789,-0.01583517862883041,0.1967070013477483,-2.658451508045189,-1
2010-12-06,2.0899999141693115,2.096667051315308,1.970667004585266,2.02066707611084,19116000.0,TSLA,2.1760001352855136,2.12193152260436,-76.3749739881415,49.67285144429118,67.81273594334559,52.592119107359856,-73.86155483862441,-0.03266596794128418,0.15609434095217822,-0.03249012831645606,0.18858446926863429,-3.7471887481557857,-1
2010-12-07,2.0326669216156006,2.1600000858306885,2.00333309173584,2.1040000915527344,19669500.0,TSLA,2.1850001386233737,2.1195406651308097,-62.227855532158905,45.705949118807816,60.443807001832994,56.67376089491318,-49.50187351001613,0.1260000467300415,0.1415505790795597,-0.03762711215125969,0.1791776912308194,4.124034900508443,1
