date,open,high,low,close,volume,symbol,t_sma,t_wma,t_ema,t_willr,t_stck,t_stcd,t_rsi,t_cci,t_mom,t_macd,updown
2011-01-26,29.364667115133443,29.364667115133443,28.950762852693924,29.266834259033203,3254700.0,ADI,1,1,1,-1,-1,-1,1,-1,1,1,1
2011-01-27,29.3721812137727,29.853815306455,29.33455408855045,29.48506546020508,3211700.0,ADI,1,1,1,1,1,-1,1,1,1,1,1
2011-01-28,29.575374742763,29.71836185512229,28.79271781129588,28.82282066345215,4059500.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
2011-01-31,28.92819248002576,29.36467544586696,28.72500243083425,29.2216911315918,3630300.0,ADI,1,-1,1,1,-1,-1,1,-1,1,-1,1
2011-02-01,29.417335262108523,29.876393650308984,29.394759561300507,29.85381507873535,2860600.0,ADI,1,1,1,1,1,1,1,1,1,-1,1
2011-02-02,29.793625524207865,30.07206981767704,29.755998382512068,29.92155838012696,2779200.0,ADI,1,1,1,-1,1,1,1,1,1,1,1
2011-02-03,29.90650938179152,29.95166080285804,29.447450795836232,29.522705078125,2370900.0,ADI,1,1,1,-1,-1,1,-1,-1,1,-1,-1
2011-02-04,29.658158170310344,30.10216522216797,29.552801051355345,30.10216522216797,3040800.0,ADI,1,1,1,1,1,1,1,1,1,1,1
2011-02-07,30.169898034834944,30.463393713920933,29.89897806313512,29.996810913085938,3113400.0,ADI,1,1,1,-1,-1,1,-1,1,-1,1,-1
2011-02-08,29.96671360593404,29.96671360593404,29.477552136353086,29.81620216369629,2760200.0,ADI,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2011-02-09,29.73342365502752,30.06454943471272,29.61301506353307,29.959192276000977,2338000.0,ADI,1,1,1,1,-1,-1,1,1,1,1,1
2011-02-10,29.740937489368083,30.102163102101382,29.560323247618445,30.09463882446289,1919200.0,ADI,1,1,1,1,1,1,1,-1,1,1,1
2011-02-11,29.92155550926605,30.66658547473433,29.868876941792863,30.54617691040039,2840300.0,ADI,1,1,1,1,1,1,-1,1,1,1,1
2011-02-14,30.628960863054093,30.945032293964093,30.628960863054093,30.84720230102539,2524600.0,ADI,1,1,1,1,1,1,-1,1,1,1,1
2011-02-15,31.24604958348777,31.35140670830436,30.764415372459776,30.854721069335938,3731500.0,ADI,1,1,1,-1,-1,1,-1,-1,1,1,1
2011-02-16,30.25268160857892,30.937505865423063,30.215054470002865,30.734315872192383,5198400.0,ADI,1,1,1,-1,-1,1,-1,-1,1,1,-1
2011-02-17,30.68163408380949,31.12564116224567,30.508546967912856,30.997705459594727,2863700.0,ADI,1,1,1,1,1,1,-1,1,1,1,1
2011-02-18,31.065450267189927,31.14070744310462,30.756903022858992,30.94504165649414,2490300.0,ADI,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2011-02-22,30.53111727757985,30.711731510934666,30.026907447022644,30.147315979003903,2915800.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2011-02-23,30.07207576140344,30.192484361088805,29.191588414473085,29.50765991210937,3064800.0,ADI,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2011-02-24,29.447449714605465,29.84630256347145,29.251783994612023,29.552806854248047,3035200.0,ADI,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1
2011-02-25,29.68825893360069,30.162368806273257,29.67320750755772,30.09463882446289,1597200.0,ADI,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2011-02-28,30.275252694376352,30.342982681777176,29.605479969393883,30.011859893798828,2184800.0,ADI,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
2011-03-01,29.944132363730592,30.21505233556664,29.3721895630175,29.47754669189453,3113600.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011-03-02,29.53052942975957,30.325174048095864,29.45484720273884,30.07542991638184,2661800.0,ADI,-1,-1,1,1,1,-1,1,1,-1,-1,1
2011-03-03,30.363011571343897,31.02143390845362,30.33274156965756,30.99872779846192,3159600.0,ADI,1,1,1,1,1,1,1,1,1,-1,1
2011-03-04,30.90791171665592,31.02143360455765,30.52194249435678,30.74898338317871,2456500.0,ADI,1,1,1,-1,1,1,-1,-1,1,-1,-1
2011-03-07,30.75655291183227,30.83223513952762,29.560802584063687,29.98461151123047,3370800.0,ADI,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
2011-03-08,30.067860415482347,30.35544710577859,29.70459438473109,30.13597297668457,2225400.0,ADI,-1,-1,-1,1,-1,1,1,-1,-1,-1,1
2011-03-09,30.00731214723295,30.014878925130784,28.9175113631434,29.14455223083496,3074700.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011-03-10,28.85696547562493,29.11427920208953,28.478563106528807,28.698034286499023,2794700.0,ADI,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2011-03-11,28.6904759062246,29.25051284666439,28.59966011941717,28.87211036682129,3498200.0,ADI,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2011-03-14,28.728303544686863,29.09913908988998,28.561808486435787,28.887231826782227,2190000.0,ADI,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2011-03-15,28.04718772837301,28.614791344584425,27.51742377584611,28.455860137939453,4167200.0,ADI,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1
2011-03-16,28.34233086199918,28.652620610783984,27.46443770297533,27.65363883972168,4665600.0,ADI,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2011-03-17,28.07746007028065,28.569384400175625,27.88069207051158,28.27423095703125,4271000.0,ADI,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2011-03-18,28.667761919946503,28.713168352814623,28.23638348581501,28.622352600097656,4827000.0,ADI,-1,-1,-1,1,1,1,1,1,-1,-1,1
2011-03-21,28.75101701650595,29.17482587738991,28.75101701650595,28.84939956665039,2204300.0,ADI,-1,1,-1,1,1,1,1,1,-1,-1,1
2011-03-22,28.864533415647823,29.099143933252705,28.622356120627792,28.735877990722656,1936800.0,ADI,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2011-03-23,28.66019909499561,29.09914729732824,28.47099788095184,29.04617118835449,1786300.0,ADI,1,1,1,1,1,1,1,1,-1,-1,1
2011-03-24,29.26563252183615,29.61376483224565,29.07643137167073,29.5910587310791,3714100.0,ADI,1,1,1,1,1,1,1,1,-1,1,1
2011-03-25,29.666746477403223,29.863514440141845,29.50781817438577,29.530521392822266,1726300.0,ADI,1,1,1,1,1,1,-1,1,-1,1,-1
2011-03-28,29.613761877683828,29.89377874363687,29.454830733296284,29.48510360717773,1713100.0,ADI,1,1,1,1,1,1,-1,1,-1,1,-1
2011-03-29,29.45484488484629,29.90135988469484,29.136988217317604,29.8937931060791,1543300.0,ADI,1,1,1,1,1,1,1,-1,1,1,1
2011-03-30,30.12083399531124,30.15110688373727,29.598639661379163,29.8937931060791,1382600.0,ADI,1,1,1,-1,1,1,1,1,1,1,-1
2011-03-31,29.780278122596144,30.01488873182055,29.65918942779888,29.8029842376709,1724100.0,ADI,1,1,1,-1,1,1,-1,-1,1,1,-1
2011-04-01,30.135967580438813,30.173807243890625,29.53809108216392,29.63647651672364,2003900.0,ADI,1,1,1,-1,-1,1,-1,-1,1,1,-1
2011-04-04,29.606200086087814,29.666745849945897,28.97805366445523,29.136981964111328,2569600.0,ADI,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1
2011-04-05,29.485116503705708,29.507822612538323,28.834263865478107,29.04617118835449,4831600.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2011-04-06,29.159693129763514,29.78784260958393,29.04617412206052,29.72729682922364,3163300.0,ADI,1,1,1,1,1,-1,1,1,1,1,1
2011-04-07,29.727296070848,29.954339854425275,29.43971228241828,29.76513862609864,3115600.0,ADI,1,1,1,-1,1,1,1,1,1,1,1
2011-04-08,29.88622689163733,29.96947300590807,29.409438994362247,29.560800552368164,2068600.0,ADI,1,1,1,-1,-1,-1,-1,-1,1,1,-1
2011-04-11,29.56836345736961,29.591066677652588,28.94778374913105,29.0915756225586,2796300.0,ADI,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2011-04-12,28.89481958912744,28.95536249723796,28.380191878767203,28.569393157958984,2757000.0,ADI,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2011-04-13,28.7207437076654,28.826695921327783,28.470996729477257,28.64506149291992,2838800.0,ADI,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2011-04-14,28.49370509639685,28.54668120742804,28.23639131982475,28.508838653564453,2999700.0,ADI,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
2011-04-15,28.531549118569583,28.887245505935145,28.175849844222054,28.87967872619629,2757300.0,ADI,-1,-1,-1,1,1,-1,1,1,-1,-1,1
2011-04-18,28.46342932033846,28.55424508903797,27.963938262019298,28.01691436767578,3819200.0,ADI,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2011-04-19,28.1077307882688,28.319635215809363,27.92609924665725,28.259092330932617,3026500.0,ADI,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
2011-04-20,28.82669407302023,29.55322596610537,28.72074186615129,29.5002498626709,2778900.0,ADI,1,1,1,1,1,1,1,1,-1,-1,1
2011-04-21,29.66674092333353,29.802965982411067,29.51537942580511,29.5910587310791,1610300.0,ADI,1,1,1,1,1,1,1,1,-1,1,1
